Angry,Fantasy,A Game of Thrones by George R.R. Martin
Relaxed,Thriller,The Silent Patient by Alex Michaelides
Relaxed,Biography,The Glass Castle by Jeanette Walls
Hopeful,Biography,Steve Jobs by Walter Isaacson
Relaxed,Fiction,1984 by George Orwell
Hopeful,Action,Red Rising by Pierce Brown
Angry,Adventure,Into the Wild by Jon Krakauer
Excited,Thriller,Before I Go to Sleep by S.J. Watson
Angry,Fiction,The Picture of Dorian Gray by Oscar Wilde
Bored,Romance,Pride and Prejudice by Jane Austen
Anxious,Fiction,The Catcher in the Rye by J.D. Salinger
Hopeful,Mystery,The Woman in White by Wilkie Collins
Hopeful,Action,The Hunger Games by Suzanne Collins
Bored,Fantasy,Harry Potter and the Sorcerer's Stone by J.K. Rowling
Excited,Thriller,The Girl on the Train by Paula Hawkins
Excited,Action,The Dark Knight Returns by Frank Miller
Excited,Romance,It Ends with Us by Colleen Hoover
Relaxed,Action,John Wick by Chad Stahelski
Excited,Mystery,And Then There Were None by Agatha Christie
Angry,Biography,The Glass Castle by Jeanette Walls
Curious,Non-Fiction,Becoming by Michelle Obama
Excited,Thriller,The Silent Patient by Alex Michaelides
Anxious,Non-Fiction,Outliers by Malcolm Gladwell
Bored,Fantasy,Harry Potter and the Sorcerer's Stone by J.K. Rowling
Relaxed,Thriller,Gone Girl by Gillian Flynn
Happy,Romance,The Rosie Project by Graeme Simsion
Happy,Adventure,Into the Wild by Jon Krakauer
Relaxed,Biography,Steve Jobs by Walter Isaacson
Sad,Fantasy,Harry Potter and the Sorcerer's Stone by J.K. Rowling
Anxious,Fantasy,Harry Potter and the Sorcerer's Stone by J.K. Rowling
Happy,Romance,The Time Traveler's Wife by Audrey Niffenegger
Anxious,Non-Fiction,Quiet by Susan Cain
Angry,Biography,The Diary of a Young Girl by Anne Frank
Hopeful,Non-Fiction,Quiet by Susan Cain
Anxious,Action,The Dark Knight Returns by Frank Miller
Relaxed,Thriller,Before I Go to Sleep by S.J. Watson
Curious,Thriller,The Silent Patient by Alex Michaelides
Happy,Non-Fiction,Outliers by Malcolm Gladwell
Angry,Mystery,The Woman in White by Wilkie Collins
Anxious,Adventure,The Call of the Wild by Jack London
Sad,Action,The Bourne Identity by Robert Ludlum
Angry,Biography,The Zookeeper's Wife by Diane Ackerman
Relaxed,Mystery,The Big Sleep by Raymond Chandler
Angry,Adventure,The Hobbit by J.R.R. Tolkien
Curious,Fiction,1984 by George Orwell
Bored,Mystery,The Cuckoo's Calling by Robert Galbraith
Anxious,Thriller,The Girl on the Train by Paula Hawkins
Happy,Adventure,The Hobbit by J.R.R. Tolkien
Sad,Fantasy,The Black Prism by Brent Weeks
Sad,Biography,Steve Jobs by Walter Isaacson
Happy,Mystery,And Then There Were None by Agatha Christie
Excited,Adventure,The Call of the Wild by Jack London
Anxious,Adventure,Into the Wild by Jon Krakauer
Happy,Action,The Hunger Games by Suzanne Collins
Angry,Action,John Wick by Chad Stahelski
Excited,Romance,Me Before You by Jojo Moyes
Relaxed,Non-Fiction,Quiet by Susan Cain
Happy,Thriller,Before I Go to Sleep by S.J. Watson
Bored,Fantasy,The Way of Kings by Brandon Sanderson
Sad,Non-Fiction,Becoming by Michelle Obama
Curious,Thriller,Before I Go to Sleep by S.J. Watson
Bored,Romance,Me Before You by Jojo Moyes
Angry,Action,The Hunger Games by Suzanne Collins
Sad,Fantasy,Harry Potter and the Sorcerer's Stone by J.K. Rowling
Curious,Mystery,The Secret History by Donna Tartt
Bored,Action,The Dark Knight Returns by Frank Miller
Angry,Mystery,The Big Sleep by Raymond Chandler
Relaxed,Action,Red Rising by Pierce Brown
Relaxed,Biography,Long Walk to Freedom by Nelson Mandela
Sad,Biography,The Zookeeper's Wife by Diane Ackerman
Relaxed,Fantasy,The Name of the Wind by Patrick Rothfuss
Excited,Action,John Wick by Chad Stahelski
Happy,Adventure,The Hobbit by J.R.R. Tolkien
Relaxed,Action,The Dark Knight Returns by Frank Miller
Happy,Fantasy,The Name of the Wind by Patrick Rothfuss
Bored,Fantasy,The Black Prism by Brent Weeks
Happy,Adventure,The Call of the Wild by Jack London
Curious,Romance,Pride and Prejudice by Jane Austen
Excited,Action,The Dark Knight Returns by Frank Miller
Relaxed,Adventure,Into the Wild by Jon Krakauer
Anxious,Biography,The Diary of a Young Girl by Anne Frank
Bored,Fiction,The Great Gatsby by F. Scott Fitzgerald
Anxious,Thriller,Gone Girl by Gillian Flynn
Bored,Action,John Wick by Chad Stahelski
Relaxed,Action,The Dark Knight Returns by Frank Miller
Sad,Fiction,Of Mice and Men by John Steinbeck
Angry,Non-Fiction,Outliers by Malcolm Gladwell
Curious,Fiction,The Catcher in the Rye by J.D. Salinger
Relaxed,Fantasy,A Game of Thrones by George R.R. Martin
Bored,Romance,The Rosie Project by Graeme Simsion
Angry,Adventure,The Hobbit by J.R.R. Tolkien
Happy,Biography,The Diary of a Young Girl by Anne Frank
Anxious,Mystery,The Woman in White by Wilkie Collins
Hopeful,Fantasy,The Black Prism by Brent Weeks
Anxious,Fantasy,Harry Potter and the Sorcerer's Stone by J.K. Rowling
Anxious,Romance,It Ends with Us by Colleen Hoover
Curious,Action,The Dark Knight Returns by Frank Miller
Bored,Romance,Pride and Prejudice by Jane Austen
Bored,Fantasy,The Black Prism by Brent Weeks
Curious,Non-Fiction,The Power of Habit by Charles Duhigg
Excited,Non-Fiction,Quiet by Susan Cain
Sad,Romance,The Time Traveler's Wife by Audrey Niffenegger
Anxious,Romance,Pride and Prejudice by Jane Austen
Curious,Adventure,Into the Wild by Jon Krakauer
Curious,Mystery,The Secret History by Donna Tartt
Excited,Action,The Dark Knight Returns by Frank Miller
Hopeful,Adventure,Into the Wild by Jon Krakauer
Bored,Mystery,The Secret History by Donna Tartt
Curious,Adventure,Moby Dick by Herman Melville
Excited,Mystery,The Big Sleep by Raymond Chandler
Sad,Mystery,The Big Sleep by Raymond Chandler
Bored,Fiction,The Picture of Dorian Gray by Oscar Wilde
Anxious,Action,John Wick by Chad Stahelski
Relaxed,Thriller,The Girl on the Train by Paula Hawkins
Sad,Fiction,The Catcher in the Rye by J.D. Salinger
Hopeful,Non-Fiction,The Power of Habit by Charles Duhigg
Curious,Action,The Hunger Games by Suzanne Collins
Happy,Biography,The Zookeeper's Wife by Diane Ackerman
Excited,Adventure,The Call of the Wild by Jack London
Excited,Fiction,Of Mice and Men by John Steinbeck
Hopeful,Biography,Steve Jobs by Walter Isaacson
Excited,Mystery,And Then There Were None by Agatha Christie
Sad,Non-Fiction,Outliers by Malcolm Gladwell
Happy,Adventure,The Hobbit by J.R.R. Tolkien
Bored,Fiction,The Catcher in the Rye by J.D. Salinger
Relaxed,Non-Fiction,Outliers by Malcolm Gladwell
Relaxed,Fantasy,Harry Potter and the Sorcerer's Stone by J.K. Rowling
Bored,Thriller,Before I Go to Sleep by S.J. Watson
Happy,Thriller,The Girl on the Train by Paula Hawkins
Happy,Action,The Hunger Games by Suzanne Collins
Relaxed,Romance,The Time Traveler's Wife by Audrey Niffenegger
Happy,Fiction,Of Mice and Men by John Steinbeck
Curious,Thriller,Gone Girl by Gillian Flynn
Bored,Non-Fiction,Quiet by Susan Cain
Sad,Romance,It Ends with Us by Colleen Hoover
Relaxed,Biography,The Glass Castle by Jeanette Walls
Bored,Biography,The Zookeeper's Wife by Diane Ackerman
Curious,Mystery,And Then There Were None by Agatha Christie
Curious,Non-Fiction,The Power of Habit by Charles Duhigg
Angry,Romance,Me Before You by Jojo Moyes
Angry,Mystery,The Woman in White by Wilkie Collins
Bored,Biography,Long Walk to Freedom by Nelson Mandela
Sad,Action,Red Rising by Pierce Brown
Anxious,Non-Fiction,Outliers by Malcolm Gladwell
Hopeful,Thriller,Gone Girl by Gillian Flynn
Anxious,Non-Fiction,Quiet by Susan Cain
Angry,Thriller,Sharp Objects by Gillian Flynn
Angry,Biography,The Glass Castle by Jeanette Walls
Happy,Biography,Steve Jobs by Walter Isaacson
Excited,Romance,It Ends with Us by Colleen Hoover
Curious,Fiction,1984 by George Orwell
Curious,Non-Fiction,Quiet by Susan Cain
Angry,Biography,Steve Jobs by Walter Isaacson
Angry,Biography,The Diary of a Young Girl by Anne Frank
Happy,Romance,It Ends with Us by Colleen Hoover
Happy,Fiction,Of Mice and Men by John Steinbeck
Curious,Action,The Dark Knight Returns by Frank Miller
Curious,Action,The Dark Knight Returns by Frank Miller
Relaxed,Biography,The Glass Castle by Jeanette Walls
Hopeful,Action,John Wick by Chad Stahelski
Sad,Fantasy,The Name of the Wind by Patrick Rothfuss
Anxious,Romance,Pride and Prejudice by Jane Austen
Bored,Biography,Steve Jobs by Walter Isaacson
Anxious,Biography,The Zookeeper's Wife by Diane Ackerman
Angry,Adventure,The Hobbit by J.R.R. Tolkien
Anxious,Fantasy,The Name of the Wind by Patrick Rothfuss
Hopeful,Biography,Long Walk to Freedom by Nelson Mandela
Angry,Mystery,And Then There Were None by Agatha Christie
Relaxed,Fiction,The Great Gatsby by F. Scott Fitzgerald
Relaxed,Mystery,The Big Sleep by Raymond Chandler
Relaxed,Biography,Long Walk to Freedom by Nelson Mandela
Curious,Thriller,Sharp Objects by Gillian Flynn
Excited,Non-Fiction,The Power of Habit by Charles Duhigg
Relaxed,Fiction,The Catcher in the Rye by J.D. Salinger
Angry,Fantasy,The Black Prism by Brent Weeks
Excited,Action,The Bourne Identity by Robert Ludlum
Relaxed,Biography,The Diary of a Young Girl by Anne Frank
Curious,Biography,The Diary of a Young Girl by Anne Frank
Relaxed,Mystery,The Big Sleep by Raymond Chandler
Anxious,Action,The Bourne Identity by Robert Ludlum
Hopeful,Adventure,Into the Wild by Jon Krakauer
Hopeful,Fantasy,The Way of Kings by Brandon Sanderson
Angry,Action,John Wick by Chad Stahelski
Happy,Non-Fiction,Quiet by Susan Cain
Curious,Fiction,The Catcher in the Rye by J.D. Salinger
Curious,Romance,The Rosie Project by Graeme Simsion
Relaxed,Adventure,The Call of the Wild by Jack London
Curious,Fantasy,The Way of Kings by Brandon Sanderson
Excited,Fiction,The Picture of Dorian Gray by Oscar Wilde
Relaxed,Mystery,And Then There Were None by Agatha Christie
Happy,Mystery,The Secret History by Donna Tartt
Happy,Biography,Long Walk to Freedom by Nelson Mandela
Happy,Thriller,Gone Girl by Gillian Flynn
Anxious,Fiction,The Great Gatsby by F. Scott Fitzgerald
Relaxed,Adventure,The Martian by Andy Weir
Hopeful,Thriller,The Girl on the Train by Paula Hawkins
Anxious,Non-Fiction,Sapiens by Yuval Noah Harari
Bored,Biography,The Glass Castle by Jeanette Walls
Hopeful,Thriller,Before I Go to Sleep by S.J. Watson
Bored,Fantasy,A Game of Thrones by George R.R. Martin
Relaxed,Biography,Steve Jobs by Walter Isaacson
Angry,Romance,The Time Traveler's Wife by Audrey Niffenegger
Hopeful,Action,The Hunger Games by Suzanne Collins
Anxious,Fiction,The Great Gatsby by F. Scott Fitzgerald
Sad,Biography,The Glass Castle by Jeanette Walls
Sad,Romance,Me Before You by Jojo Moyes
Hopeful,Action,The Hunger Games by Suzanne Collins
Sad,Adventure,Into the Wild by Jon Krakauer
Happy,Fantasy,Harry Potter and the Sorcerer's Stone by J.K. Rowling
Anxious,Adventure,The Call of the Wild by Jack London
Hopeful,Biography,The Diary of a Young Girl by Anne Frank
Anxious,Mystery,And Then There Were None by Agatha Christie
Hopeful,Mystery,The Woman in White by Wilkie Collins
Anxious,Fiction,The Great Gatsby by F. Scott Fitzgerald
Happy,Non-Fiction,Sapiens by Yuval Noah Harari
Anxious,Action,The Hunger Games by Suzanne Collins
Angry,Thriller,Gone Girl by Gillian Flynn
Excited,Biography,The Zookeeper's Wife by Diane Ackerman
Relaxed,Romance,The Rosie Project by Graeme Simsion
Anxious,Fantasy,A Game of Thrones by George R.R. Martin
Anxious,Non-Fiction,Sapiens by Yuval Noah Harari
Curious,Non-Fiction,Quiet by Susan Cain
Angry,Adventure,The Call of the Wild by Jack London
Anxious,Mystery,The Secret History by Donna Tartt
Bored,Fantasy,The Black Prism by Brent Weeks
Curious,Mystery,And Then There Were None by Agatha Christie
Curious,Adventure,The Martian by Andy Weir
Angry,Biography,The Glass Castle by Jeanette Walls
Angry,Action,The Hunger Games by Suzanne Collins
Excited,Thriller,The Girl on the Train by Paula Hawkins
Angry,Adventure,Into the Wild by Jon Krakauer
Sad,Adventure,The Martian by Andy Weir
Relaxed,Romance,The Time Traveler's Wife by Audrey Niffenegger
Angry,Adventure,The Call of the Wild by Jack London
Anxious,Fantasy,Harry Potter and the Sorcerer's Stone by J.K. Rowling
Happy,Romance,The Rosie Project by Graeme Simsion
Relaxed,Fantasy,The Black Prism by Brent Weeks
Relaxed,Non-Fiction,Quiet by Susan Cain
Curious,Biography,Steve Jobs by Walter Isaacson
Curious,Mystery,The Big Sleep by Raymond Chandler
Angry,Fiction,Of Mice and Men by John Steinbeck
Angry,Romance,Pride and Prejudice by Jane Austen
Anxious,Romance,Pride and Prejudice by Jane Austen
Sad,Thriller,Sharp Objects by Gillian Flynn
Angry,Romance,The Rosie Project by Graeme Simsion
Curious,Action,The Hunger Games by Suzanne Collins
Excited,Fantasy,The Black Prism by Brent Weeks
Curious,Mystery,The Big Sleep by Raymond Chandler
Relaxed,Romance,Pride and Prejudice by Jane Austen
Happy,Fiction,The Catcher in the Rye by J.D. Salinger
Angry,Fantasy,Harry Potter and the Sorcerer's Stone by J.K. Rowling
Angry,Non-Fiction,Becoming by Michelle Obama
Bored,Fiction,The Picture of Dorian Gray by Oscar Wilde
Hopeful,Adventure,The Martian by Andy Weir
Curious,Fantasy,The Black Prism by Brent Weeks
Happy,Biography,The Zookeeper's Wife by Diane Ackerman
Angry,Biography,The Glass Castle by Jeanette Walls
Excited,Action,The Hunger Games by Suzanne Collins
Angry,Action,The Bourne Identity by Robert Ludlum
Happy,Biography,The Glass Castle by Jeanette Walls
Happy,Thriller,The Silent Patient by Alex Michaelides
Excited,Thriller,Sharp Objects by Gillian Flynn
Curious,Thriller,Before I Go to Sleep by S.J. Watson
Relaxed,Mystery,The Cuckoo's Calling by Robert Galbraith
Anxious,Fantasy,The Black Prism by Brent Weeks
Angry,Adventure,The Hobbit by J.R.R. Tolkien
Hopeful,Fiction,The Picture of Dorian Gray by Oscar Wilde
Relaxed,Mystery,The Woman in White by Wilkie Collins
Curious,Fantasy,The Way of Kings by Brandon Sanderson
Curious,Mystery,The Big Sleep by Raymond Chandler
Bored,Non-Fiction,Outliers by Malcolm Gladwell
Relaxed,Mystery,The Big Sleep by Raymond Chandler
Bored,Romance,The Rosie Project by Graeme Simsion
Excited,Non-Fiction,Sapiens by Yuval Noah Harari
Hopeful,Action,Red Rising by Pierce Brown
Relaxed,Romance,Me Before You by Jojo Moyes
Anxious,Mystery,The Cuckoo's Calling by Robert Galbraith
Angry,Adventure,Into the Wild by Jon Krakauer
Happy,Adventure,The Hobbit by J.R.R. Tolkien
Hopeful,Non-Fiction,Quiet by Susan Cain
Anxious,Fantasy,A Game of Thrones by George R.R. Martin
Happy,Fiction,Of Mice and Men by John Steinbeck
Excited,Thriller,Before I Go to Sleep by S.J. Watson
Anxious,Action,Red Rising by Pierce Brown
Bored,Fiction,The Picture of Dorian Gray by Oscar Wilde
Bored,Fantasy,The Black Prism by Brent Weeks
Hopeful,Fantasy,The Black Prism by Brent Weeks
Angry,Thriller,The Silent Patient by Alex Michaelides
Curious,Action,The Dark Knight Returns by Frank Miller
Happy,Fantasy,The Way of Kings by Brandon Sanderson
Sad,Non-Fiction,Sapiens by Yuval Noah Harari
Happy,Fiction,Of Mice and Men by John Steinbeck
Happy,Biography,The Diary of a Young Girl by Anne Frank
Excited,Romance,Pride and Prejudice by Jane Austen
Curious,Fiction,Of Mice and Men by John Steinbeck
Bored,Adventure,Moby Dick by Herman Melville
Happy,Fantasy,A Game of Thrones by George R.R. Martin
Curious,Romance,Pride and Prejudice by Jane Austen
Sad,Thriller,Before I Go to Sleep by S.J. Watson
Bored,Adventure,Into the Wild by Jon Krakauer
Anxious,Non-Fiction,Becoming by Michelle Obama
Angry,Fantasy,The Way of Kings by Brandon Sanderson
Relaxed,Action,The Bourne Identity by Robert Ludlum
Relaxed,Fiction,The Catcher in the Rye by J.D. Salinger
Bored,Action,Red Rising by Pierce Brown
Angry,Biography,The Diary of a Young Girl by Anne Frank
Bored,Non-Fiction,Outliers by Malcolm Gladwell
Curious,Action,The Dark Knight Returns by Frank Miller
Bored,Thriller,The Silent Patient by Alex Michaelides
Bored,Fiction,1984 by George Orwell
Angry,Fiction,The Picture of Dorian Gray by Oscar Wilde
Excited,Thriller,The Girl on the Train by Paula Hawkins
Hopeful,Thriller,Sharp Objects by Gillian Flynn
Excited,Fantasy,The Way of Kings by Brandon Sanderson
Happy,Fantasy,Harry Potter and the Sorcerer's Stone by J.K. Rowling
Excited,Adventure,The Hobbit by J.R.R. Tolkien
Hopeful,Mystery,The Woman in White by Wilkie Collins
Happy,Mystery,The Woman in White by Wilkie Collins
Excited,Romance,It Ends with Us by Colleen Hoover
Angry,Adventure,The Hobbit by J.R.R. Tolkien
Relaxed,Fiction,The Great Gatsby by F. Scott Fitzgerald
Sad,Fantasy,A Game of Thrones by George R.R. Martin
Excited,Non-Fiction,Quiet by Susan Cain
Curious,Action,The Bourne Identity by Robert Ludlum
Sad,Thriller,Before I Go to Sleep by S.J. Watson
Relaxed,Adventure,The Hobbit by J.R.R. Tolkien
Sad,Biography,The Zookeeper's Wife by Diane Ackerman
Bored,Fantasy,The Name of the Wind by Patrick Rothfuss
Curious,Thriller,The Girl on the Train by Paula Hawkins
Relaxed,Biography,The Diary of a Young Girl by Anne Frank
Bored,Biography,The Diary of a Young Girl by Anne Frank
Anxious,Mystery,The Woman in White by Wilkie Collins
Bored,Romance,The Rosie Project by Graeme Simsion
Curious,Romance,It Ends with Us by Colleen Hoover
Happy,Action,Red Rising by Pierce Brown
Bored,Action,The Dark Knight Returns by Frank Miller
Excited,Fiction,1984 by George Orwell
Sad,Action,Red Rising by Pierce Brown
Bored,Fantasy,The Name of the Wind by Patrick Rothfuss
Relaxed,Fantasy,The Black Prism by Brent Weeks
Excited,Mystery,The Cuckoo's Calling by Robert Galbraith
Angry,Action,The Bourne Identity by Robert Ludlum
Hopeful,Mystery,The Cuckoo's Calling by Robert Galbraith
Happy,Adventure,The Hobbit by J.R.R. Tolkien
Curious,Fantasy,The Name of the Wind by Patrick Rothfuss
